CAST|COUNTRY|DATE_ADDED|DESCRIPTION|DIRECTOR|DURATION|LISTED_IN|RATING|RELEASE_YEAR|SHOW_ID|TITLE|TYPE
Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia|United States|September 29, 2017|When her husband's sex game goes wrong, Jessie â€“ handcuffed to a bed in a remote lake house â€“ faces warped visions, dark secrets and a dire choice.|Mike Flanagan|103 min|Horror Movies, Thrillers|TV-MA|2017|80128722|Gerald's Game|Movie
|United States|September 29, 2017|When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.|Jacob LaMendola|40 min|Documentaries|TV-14|2017|80182115|Long Shot|Movie
Erma Fatima, Rahim Razali, Umie Aida, Nora Danish||September 29, 2017|A woman with an entrepreneurial spirit takes life into her own hands by starting a beauty cream business that inspires other women to take chances.||1 Season|International TV Shows, TV Comedies, TV Dramas|TV-PG|2015|80163293|Mak Cun|TV Show
Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville|United States|September 29, 2017|After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.|Ritesh Batra|103 min|Dramas, Romantic Movies|TV-14|2017|80104068|Our Souls at Night|Movie
||September 29, 2017|Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions canâ€™t always be trusted.|Dylan Howitt|85 min|Documentaries, International Movies|TV-14|2017|80119349|Out of Thin Air|Movie
Paul Hollywood|United Kingdom|September 29, 2017|Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany.||1 Season|British TV Shows, Docuseries, International TV Shows|TV-14|2017|80199032|Paul Hollywood's Big Continental Road Trip|TV Show
Sara Ali, Remy Ishak, Rita Rudaini, Mirza Salihovic, Hafizul Kamal, Miller Khan||September 29, 2017|A man haunted by his wife's affair moves to Sarajevo and starts to love again, until fate forces him to choose between his new life and old loyalty.||1 Season|International TV Shows, TV Dramas|TV-14|2014|80180449|Satu Hari|TV Show
Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey|United States|September 29, 2015|Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.|William Lau|72 min|Children & Family Movies, Music & Musicals|TV-Y7|2015|80019931|Monster High: Boo York, Boo York|Movie
||September 28, 2019|An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki Universityâ€™s Aqua Culture Research Institute.|Mana Yasuda|45 min|Documentaries, International Movies|TV-G|2019|81053893|Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna|Movie
Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, SÃ¸ren Malling, Paprika Steen, Helena Kaittani|Denmark, France, Italy, Belgium, Netherlands|September 28, 2019|A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.|Brian De Palma|89 min|International Movies, Thrillers|R|2019|80200087|Domino|Movie
Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu||September 28, 2019|A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.|Mana Yasuda|90 min|Dramas, International Movies|TV-PG|2019|81053892|TUNA GIRL|Movie
Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya|Indonesia|September 28, 2018|Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.|Rizal Mantovani|126 min|Dramas, International Movies|TV-14|2012|81002850|5CM|Movie
Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke|China|September 28, 2018|An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.|Han Yan|130 min|Action & Adventure, International Movies, Sci-Fi & Fantasy|TV-MA|2018|81004470|Animal World|Movie
Jeffrey Wright, Alexander SkarsgÃ¥rd, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie|United States|September 28, 2018|In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.|Jeremy Saulnier|126 min|Action & Adventure, Dramas|TV-MA|2018|80157072|Hold the Dark|Movie
|United States|September 28, 2018|Two priests â€“ one from Dunblane, Scotland, the other from Newtown, Connecticut â€“ bond over school tragedies that occurred 16 years apart.|Kim A. Snyder|24 min|Documentaries|TV-PG|2018|81001809|Lessons from a School Shooting: Notes from Dunblane|Movie
|United States|September 28, 2018|These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.||1 Season|International TV Shows, Reality TV, Spanish-Language TV Shows|TV-MA|2018|80201933|Made in Mexico|TV Show
Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes|Indonesia|September 28, 2018|Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.|Raditya Dika|127 min|Comedies, International Movies, Romantic Movies|TV-PG|2015|81002864|Single|Movie
Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman|Indonesia|September 28, 2018|When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.|Rocky Soraya|108 min|Horror Movies, International Movies|TV-MA|2018|81016750|The 3rd Eye|Movie
Herjunot Ali, Pevita Pearce, Reza Rahadian, Randy Nidji, Gesya Shandy, Kevin Andrean, Arzetti Bilbina|Indonesia|September 28, 2018|When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.|Sunil Soraya|163 min|Dramas, International Movies, Romantic Movies|TV-14|2013|81002866|The Sinking Of Van Der Wijck|Movie
|Spain|September 28, 2018|Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.|Ãlvaro Longoria, Gerardo Olivares|117 min|Documentaries, International Movies|TV-MA|2018|80992039|Two Catalonias|Movie
|Ireland, United Kingdom|September 28, 2017|In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.|Brendan Byrne|106 min|Documentaries|TV-14|2016|80126507|Bobby Sands: 66 Days|Movie
Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain|India|September 27, 2019|Years after a disastrous job in Balochistan, a former Indian spy must confront his past when he returns to lead an unsanctioned hostage-rescue mission.||1 Season|International TV Shows, TV Action & Adventure, TV Dramas|TV-MA|2019|80225885|Bard of Blood|TV Show
Gupse Ã–zay, Eda Ece, Aksel Bonfil, Derya Alabora, Esin Eden, HÃ¼lya Duyar, Ali Ã‡elik, Mert Ã–ner|Turkey|September 27, 2019|While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.|Gupse Ã–zay|102 min|Comedies, International Movies|TV-PG|2018|81132443|Deliha 2|Movie
Nicolas Cantu, Brennley Brown, Zach Callison, Skai Jackson, Noah Kaye Bentley, Andre Robinson, Marsai Martin||September 27, 2019|Twins Dak and Leyla and their dragon friends devote their lives to rescuing others, defending their home of Huttsgalor and having fun along the way.||1 Season|Kids' TV, TV Comedies|TV-Y|2019|80218107|Dragons: Rescue Riders|TV Show
Boyd Holbrook, Michael C. Hall, Cleopatra Coleman, Bokeem Woodbine, Rudi Dharmalingam, Rachel Keller|United States|September 27, 2019|A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.|Jim Mickle|116 min|Dramas, Sci-Fi & Fantasy, Thrillers|TV-MA|2019|80231903|In the Shadow of the Moon|Movie
Edin Hasanovic, Peri Baumeister, Murathan Muslu, Erdal YÄ±ldÄ±z, Richy MÃ¼ller, Anna Herrmann, Sahin Eryilmaz, Lisa Maria Potthoff, Carol Schuler, Dustin JÃ©rÃ´me Schanz, Nimo, Christopher SchÃ¤rf, Slavko Popadic||September 27, 2019|A hip-hop producer gets hurled into the violent world of organized crime when the record label he signs to becomes the center of a deadly drug business.||1 Season|Crime TV Shows, International TV Shows, TV Dramas|TV-MA|2019|80220715|Skylines|TV Show
|United States|September 27, 2019|In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents.|Jumpei Mizusaki, Koji Morimoto, Michael Arias, Masaru Matsumoto, Arthell Isom, Henry Thurlow, Takanobu Mizuno, Elsa Nakamichi, Hajime Sasaki, Shinji Takagi|42 min|Anime Features, Music & Musicals, Sci-Fi & Fantasy|TV-MA|2019|81171121|Sturgill Simpson Presents Sound & Fury|Movie
Ben Platt, Gwyneth Paltrow, Jessica Lange, Zoey Deutch, Lucy Boynton, Bob Balaban, David Corenswet, Julia Schlaepfer, Laura Dreyfuss, Theo Germaine, Rahne Jones, Benjamin Barrett|United States|September 27, 2019|Rich kid Payton has always known he's going to be president. But first he has to navigate the most treacherous political landscape of all: high school.||1 Season|TV Comedies, TV Dramas, Teen TV Shows|TV-14|2019|80241248|The Politician|TV Show
Liu Kai Chi, Lam Yiu-sing, Tony Tsz-Tung Wu, Poon Chan-leung, Sun Li Man, Tam Sin Yin, Sham Ka Ki, Wang Simin, Jan Lamb|Hong Kong|September 27, 2018|In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.|Chi Fat Chan|95 min|Dramas, Independent Movies, International Movies|TV-14|2016|81012295|Weeds on Fire|Movie
Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara El Mhamdi Elaaloui, Abdellah Didane, Danny Boushebel, Carlo Brandt, CamÃ©lia Montassere|France, Morocco|September 27, 2017|Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.|Nabil Ayouch|104 min|Dramas, Independent Movies, International Movies|TV-MA|2015|80060037|Much Loved|Movie
Ben Affleck, Mark Hamill, Richard Herd, Maureen McGovern, Jodi Benson, Judith Light, James Eckhouse, Richard McGonagle, David Campbell, Steven Weber, Dan Castellaneta, Rene Auberjonois, Ken Hudson Campbell, Tom Virtue, Jeff Bennett|United States|September 27, 2011|With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.|Rob LaDuca, Robert C. Ramirez|75 min|Children & Family Movies, Dramas, Faith & Spirituality|TV-PG|2000|60003155|Joseph: King of Dreams|Movie
Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle|India|September 26, 2019|Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.|Mangesh Hadawale|133 min|International Movies, Romantic Movies|TV-14|2019|81177238|Malaal|Movie
Tony Leung Chiu-wai, Zhang Ziyi, Chang Chen, Xiao Shen-Yang, Zhao Benshan, Song Hye-kyo, Wang Qingxiang, Zhang Jin, Lo Hoi-pang, Cung Le, Julian Cheung|Hong Kong, China|September 26, 2019|As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village.|Wong Kar Wai|108 min|Action & Adventure, Dramas, International Movies|PG-13|2013|70270775|The Grandmaster|Movie
Ignacio Serricchio, Ana Claudia TalancÃ³n, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo SÃ¡nchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, RamÃ³n MedÃ­na, Erik Hayser, TiarÃ© Scanda|Mexico|September 26, 2019|A former Marine poses as an inmate inside a Mexican prison in order to infiltrate a gang suspected of kidnapping a U.S. judge's teen daughter.||1 Season|Crime TV Shows, International TV Shows, Spanish-Language TV Shows|TV-MA|2018|81025403|The Inmate|TV Show
Toby Kebbell, Maggie Grace, Ryan Kwanten, Ralph Ineson, Melissa Bolona, Ben Cross, Jamie Andrew Cutler|United States|September 26, 2018|A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.|Rob Cohen|103 min|Action & Adventure|PG-13|2018|80215923|The Hurricane Heist|Movie
Dave Chappelle, Steve Harvey, Cedric the Entertainer, Martin Lawrence, Tiffany Haddish, Katt Williams, Craig Robinson, D.L. Hughley, Eddie Griffin, J.B. Smoove, Joe Torry, Kid Capri, Mike Epps, Sheryl Underwood, Tracy Morgan, Deon Cole|United States|September 26, 2017|In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""|Louis J. Horvitz|82 min|Stand-Up Comedy|TV-MA|2017|80151483|Def Comedy Jam 25|Movie
Peter Martins, Sean Suozzi, Gretchen Smith, Ashley Laracey, Tiler Peck, Damian Woetzel, Albert Evans, Sterling Hyltin, Craig Hall, Peter Boal, Karen Young, Michelle Rodriguez, Jock Soto, Adam Barrett|United States|September 26, 2017|After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.|Linda Saffire, Adam Schlesinger|94 min|Documentaries|TV-MA|2016|80173625|Restless Creature: Wendy Whelan|Movie
|United States|September 26, 2014|This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.|Luis Lopez, Clay Tweel|100 min|Documentaries|TV-14|2014|80005444|Print the Legend|Movie
|United States, Mexico|September 25, 2019|Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.|Otilia Portillo Padua|38 min|Documentaries, International Movies|TV-G|2019|80244682|Birders|Movie
Ngo Thanh Van, Phan Thanh Nhien, Mai Cat Vi, Thanh Hoa, Pham Anh Khoa|Vietnam|September 25, 2019|When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon â€“ and her outlaw roots â€“ to take down the abductors.|Le Van Kiet|97 min|Action & Adventure, Dramas, International Movies|TV-MA|2019|81075519|Furie|Movie
Bronwen Mantel, Mel Brooks, Maddie Ziegler, Dane DeHaan, Julie Khaner, Elle Fanning, Terrence Scammell, Tamir Kapelian, Carly Rae Jepsen|France, Canada|September 25, 2019|FÃ©licie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.|Eric Summer, Ã‰ric Warin|89 min|Children & Family Movies, Comedies|PG|2016|80166318|Leap!|Movie
